sample_id,spot_id,spotify_link,clip_start,psytech,oldschool-hardstyle,bouncy,tekno,warzone,industrial,non-techno-drop
0yfcukn9ppST6LeGqYxHDI_0084,0yfcukn9ppST6LeGqYxHDI,https://open.spotify.com/track/0yfcukn9ppST6LeGqYxHDI?si=d8da29ee89c84259,1:16,0,0,1,0,0,0,0
0yfcukn9ppST6LeGqYxHDI_0085,0yfcukn9ppST6LeGqYxHDI,,1:26,0,0,1,0,0,0,0
0yfcukn9ppST6LeGqYxHDI_0086,0yfcukn9ppST6LeGqYxHDI,,1:36,0,0,1,0,0,0,0
0yfcukn9ppST6LeGqYxHDI_0087,0yfcukn9ppST6LeGqYxHDI,,2:20,0,0,1,0,0,0,0
0yfcukn9ppST6LeGqYxHDI_0088,0yfcukn9ppST6LeGqYxHDI,,2:32,0,0,1,0,0,0,0
5oplb28lkORdtdlJVNfsuG_0089,5oplb28lkORdtdlJVNfsuG,https://open.spotify.com/track/5oplb28lkORdtdlJVNfsuG?si=3d577c14f18f45a2,0:36,0,0,0,1,0,0,0
5oplb28lkORdtdlJVNfsuG_0090,5oplb28lkORdtdlJVNfsuG,,0:48,0,0,0,1,0,0,0
0qq8cWbAABh3oVJQDhYfnX_0091,0qq8cWbAABh3oVJQDhYfnX,https://open.spotify.com/track/0qq8cWbAABh3oVJQDhYfnX?si=76967343d4534550,1:41,0,0,0,1,0,0,0
0qq8cWbAABh3oVJQDhYfnX_0092,0qq8cWbAABh3oVJQDhYfnX,,1:51,0,0,0,1,0,0,0
0qq8cWbAABh3oVJQDhYfnX_0093,0qq8cWbAABh3oVJQDhYfnX,,2:01,0,0,0,1,0,0,0
7igZwLhKDvczYv1QumNPVX_0094,7igZwLhKDvczYv1QumNPVX,https://open.spotify.com/track/7igZwLhKDvczYv1QumNPVX?si=c4d276b2196e4358,0:56,0,0,0,1,0,0,0
7igZwLhKDvczYv1QumNPVX_0095,7igZwLhKDvczYv1QumNPVX,,1:06,0,0,0,1,0,0,0
7igZwLhKDvczYv1QumNPVX_0096,7igZwLhKDvczYv1QumNPVX,,1:16,0,0,0,1,0,0,0
6bfW8PI98LSGAdbGPga0ix_0097,6bfW8PI98LSGAdbGPga0ix,https://open.spotify.com/track/6bfW8PI98LSGAdbGPga0ix?si=608c28ce9bdb408c,0:57,0,0,0,1,0,0,0
6bfW8PI98LSGAdbGPga0ix_0098,6bfW8PI98LSGAdbGPga0ix,,1:07,0,0,0,1,0,0,0
6bfW8PI98LSGAdbGPga0ix_0099,6bfW8PI98LSGAdbGPga0ix,,1:17,0,0,0,1,0,0,0
7eRRofaETGOvVf1SaBNdiG_0100,7eRRofaETGOvVf1SaBNdiG,https://open.spotify.com/track/7eRRofaETGOvVf1SaBNdiG?si=TxluPmO_Spq-wrfPC9Wgcg%0A,1:14,0,0,0,0,1,0,0
7eRRofaETGOvVf1SaBNdiG_0101,7eRRofaETGOvVf1SaBNdiG,,1:24,0,0,0,0,1,0,0
7eRRofaETGOvVf1SaBNdiG_0102,7eRRofaETGOvVf1SaBNdiG,,1:38,0,0,0,0,1,0,0
7eRRofaETGOvVf1SaBNdiG_0103,7eRRofaETGOvVf1SaBNdiG,,2:20,0,0,0,0,1,0,0
7eRRofaETGOvVf1SaBNdiG_0104,7eRRofaETGOvVf1SaBNdiG,,3:03,0,0,0,0,1,0,0
7eRRofaETGOvVf1SaBNdiG_0105,7eRRofaETGOvVf1SaBNdiG,,3:13,0,0,0,0,1,0,0
1S19oeo1Ih10983dcfUeNj_0106,1S19oeo1Ih10983dcfUeNj,https://open.spotify.com/track/1S19oeo1Ih10983dcfUeNj?si=0n9_pEeDRtmZK6luPm5JdQ%0A,1:16,0,0,1,0,0,0,0
1S19oeo1Ih10983dcfUeNj_0107,1S19oeo1Ih10983dcfUeNj,,2:07,0,0,1,0,0,0,0
1S19oeo1Ih10983dcfUeNj_0108,1S19oeo1Ih10983dcfUeNj,,2:17,0,0,1,0,0,0,0
1S19oeo1Ih10983dcfUeNj_0109,1S19oeo1Ih10983dcfUeNj,,2:27,0,0,1,0,0,0,0
1S19oeo1Ih10983dcfUeNj_0110,1S19oeo1Ih10983dcfUeNj,,0:39,0,0,1,0,0,0,0
1S19oeo1Ih10983dcfUeNj_0111,1S19oeo1Ih10983dcfUeNj,,2:50,0,0,1,0,0,0,0
1S19oeo1Ih10983dcfUeNj_0112,1S19oeo1Ih10983dcfUeNj,,3:20,0,0,1,0,0,0,0
5LcBZ7PdrpbUOy2IS2FtFI_0113,5LcBZ7PdrpbUOy2IS2FtFI,https://open.spotify.com/track/5LcBZ7PdrpbUOy2IS2FtFI?si=6m201NwKSM28SlHb824MhQ%0A,1:04,0,0,0,0,0,1,0
5LcBZ7PdrpbUOy2IS2FtFI_0114,5LcBZ7PdrpbUOy2IS2FtFI,,1:14,0,0,0,0,0,1,0
5LcBZ7PdrpbUOy2IS2FtFI_0115,5LcBZ7PdrpbUOy2IS2FtFI,,1:24,0,0,0,0,0,1,0
5LcBZ7PdrpbUOy2IS2FtFI_0116,5LcBZ7PdrpbUOy2IS2FtFI,,1:40,0,0,0,0,0,1,0
3hfFbnhW13OFOoFn1fZxQP_0117,3hfFbnhW13OFOoFn1fZxQP,https://open.spotify.com/track/3hfFbnhW13OFOoFn1fZxQP?si=Mmu3tLmXRSqjI7Hdr0gdRQ%0A,2:20,0,0,1,0,0,0,0
3hfFbnhW13OFOoFn1fZxQP_0118,3hfFbnhW13OFOoFn1fZxQP,,3:10,0,0,1,0,0,0,0
3hfFbnhW13OFOoFn1fZxQP_0119,3hfFbnhW13OFOoFn1fZxQP,,3:21,0,0,1,0,0,0,0
3hfFbnhW13OFOoFn1fZxQP_0120,3hfFbnhW13OFOoFn1fZxQP,,3:35,0,0,1,0,0,0,0
3hfFbnhW13OFOoFn1fZxQP_0121,3hfFbnhW13OFOoFn1fZxQP,,3:48,0,0,1,0,0,0,0
4RNCXxaqfcx0RpVAOluzHs_0122,4RNCXxaqfcx0RpVAOluzHs,https://open.spotify.com/track/4RNCXxaqfcx0RpVAOluzHs?si=2-fpkGbwRh641ZF6PEIaBg%0A,2:27,1,0,0,0,0,0,0
4RNCXxaqfcx0RpVAOluzHs_0123,4RNCXxaqfcx0RpVAOluzHs,,2:37,1,0,0,0,0,0,0
4RNCXxaqfcx0RpVAOluzHs_0124,4RNCXxaqfcx0RpVAOluzHs,,2:12,1,0,0,0,0,0,0
7wabNgqHENHfksjaxajjeu_0125,7wabNgqHENHfksjaxajjeu,https://open.spotify.com/track/7wabNgqHENHfksjaxajjeu?si=2a3b5041f7a444d1,0:18,0,0,0,0,0,1,0
7wabNgqHENHfksjaxajjeu_0126,7wabNgqHENHfksjaxajjeu,,0:28,0,0,0,0,0,1,0
7wabNgqHENHfksjaxajjeu_0127,7wabNgqHENHfksjaxajjeu,,0:38,0,0,0,0,0,1,0
7wabNgqHENHfksjaxajjeu_0128,7wabNgqHENHfksjaxajjeu,,0:51,0,0,0,0,0,1,0
7wabNgqHENHfksjaxajjeu_0129,7wabNgqHENHfksjaxajjeu,,1:01,0,0,0,0,0,1,0
7wabNgqHENHfksjaxajjeu_0130,7wabNgqHENHfksjaxajjeu,,2:03,0,0,0,0,1,0,0
7wabNgqHENHfksjaxajjeu_0131,7wabNgqHENHfksjaxajjeu,,1:50,0,0,0,0,1,0,0
7wabNgqHENHfksjaxajjeu_0132,7wabNgqHENHfksjaxajjeu,,2:25,0,0,0,0,0,1,0
7wabNgqHENHfksjaxajjeu_0133,7wabNgqHENHfksjaxajjeu,,2:40,0,0,0,0,0,1,0
7wabNgqHENHfksjaxajjeu_0134,7wabNgqHENHfksjaxajjeu,,2:50,0,0,0,0,0,1,0
7wabNgqHENHfksjaxajjeu_0135,7wabNgqHENHfksjaxajjeu,,3:00,0,0,0,0,0,1,0
1FITrlxFacwkOZhjhPQO7Z_0136,1FITrlxFacwkOZhjhPQO7Z,https://open.spotify.com/track/1FITrlxFacwkOZhjhPQO7Z?si=b92dfd6ec8114d4a,1:11,1,0,0,0,0,0,0
1FITrlxFacwkOZhjhPQO7Z_0137,1FITrlxFacwkOZhjhPQO7Z,,1:21,1,0,0,0,0,0,0
1FITrlxFacwkOZhjhPQO7Z_0138,1FITrlxFacwkOZhjhPQO7Z,,1:31,1,0,0,0,0,0,0
5mqQOry2p0qHHjy8jHfPlr_0139,5mqQOry2p0qHHjy8jHfPlr,https://open.spotify.com/track/5mqQOry2p0qHHjy8jHfPlr?si=a9c082932fd94026,1:35,0,0,0,0,0,0,1
5mqQOry2p0qHHjy8jHfPlr_0140,5mqQOry2p0qHHjy8jHfPlr,,1:45,0,0,0,0,1,0,0
5mqQOry2p0qHHjy8jHfPlr_0141,5mqQOry2p0qHHjy8jHfPlr,,1:55,0,0,0,0,1,0,0
5mqQOry2p0qHHjy8jHfPlr_0142,5mqQOry2p0qHHjy8jHfPlr,,2:35,0,0,0,0,1,0,0
155w1E9nzaLnM9xpajfSO0_0143,155w1E9nzaLnM9xpajfSO0,https://open.spotify.com/track/155w1E9nzaLnM9xpajfSO0?si=41fe3e5bb46440db,1:15,0,0,0,0,1,0,0
155w1E9nzaLnM9xpajfSO0_0144,155w1E9nzaLnM9xpajfSO0,,1:25,0,0,0,0,1,0,0
155w1E9nzaLnM9xpajfSO0_0145,155w1E9nzaLnM9xpajfSO0,,1:35,0,0,0,0,1,0,0
155w1E9nzaLnM9xpajfSO0_0146,155w1E9nzaLnM9xpajfSO0,,3:21,0,0,0,0,1,0,0
155w1E9nzaLnM9xpajfSO0_0147,155w1E9nzaLnM9xpajfSO0,,3:31,0,0,0,0,1,0,0
51PP6uVzkxcwKE6hXAKOj3_0148,51PP6uVzkxcwKE6hXAKOj3,https://open.spotify.com/track/51PP6uVzkxcwKE6hXAKOj3?si=4591ffb18bba4daf,2:45,0,0,0,0,1,0,0
51PP6uVzkxcwKE6hXAKOj3_0149,51PP6uVzkxcwKE6hXAKOj3,,2:55,0,0,0,0,1,0,0
51PP6uVzkxcwKE6hXAKOj3_0150,51PP6uVzkxcwKE6hXAKOj3,,3:05,0,0,0,0,1,0,0
23QjkSL7xKtU4mwyou8CE0_0151,23QjkSL7xKtU4mwyou8CE0,https://open.spotify.com/track/23QjkSL7xKtU4mwyou8CE0?si=abb9b7d02cf44834,2:04,0,0,0,0,1,0,0
23QjkSL7xKtU4mwyou8CE0_0152,23QjkSL7xKtU4mwyou8CE0,,2:14,0,0,0,0,1,0,0
23QjkSL7xKtU4mwyou8CE0_0153,23QjkSL7xKtU4mwyou8CE0,,2:24,0,0,0,0,1,0,0
23QjkSL7xKtU4mwyou8CE0_0154,23QjkSL7xKtU4mwyou8CE0,,3:45,0,0,0,0,1,0,0
23QjkSL7xKtU4mwyou8CE0_0155,23QjkSL7xKtU4mwyou8CE0,,3:55,0,0,0,0,1,0,0
0dhK1evthUOmcbXHZ783j6_0156,0dhK1evthUOmcbXHZ783j6,https://open.spotify.com/track/0dhK1evthUOmcbXHZ783j6?si=42881a265ca84bef,0:50,0,0,0,0,1,0,0
0dhK1evthUOmcbXHZ783j6_0157,0dhK1evthUOmcbXHZ783j6,,1:00,0,0,0,0,1,0,0
0dhK1evthUOmcbXHZ783j6_0158,0dhK1evthUOmcbXHZ783j6,,1:27,0,0,0,0,1,0,0
0dhK1evthUOmcbXHZ783j6_0159,0dhK1evthUOmcbXHZ783j6,,1:37,0,0,0,0,1,0,0
2Uns8h43YEHzvu30ZJmEKw_0160,2Uns8h43YEHzvu30ZJmEKw,https://open.spotify.com/track/2Uns8h43YEHzvu30ZJmEKw?si=4610573b7aff46a3,1:50,0,0,0,0,0,1,0
2Uns8h43YEHzvu30ZJmEKw_0161,2Uns8h43YEHzvu30ZJmEKw,,0:47,0,0,0,0,0,1,0
2Uns8h43YEHzvu30ZJmEKw_0162,2Uns8h43YEHzvu30ZJmEKw,,0:57,0,0,0,0,0,1,0
2Uns8h43YEHzvu30ZJmEKw_0163,2Uns8h43YEHzvu30ZJmEKw,,1:35,0,0,0,0,0,1,0
2Uns8h43YEHzvu30ZJmEKw_0164,2Uns8h43YEHzvu30ZJmEKw,,3:35,0,0,0,0,1,0,0
3eA8bSCdMla8jBwI1NtdUO_0165,3eA8bSCdMla8jBwI1NtdUO,https://open.spotify.com/track/3eA8bSCdMla8jBwI1NtdUO?si=a4ffb73679014aaa,1:12,0,0,0,0,1,0,0
3eA8bSCdMla8jBwI1NtdUO_0166,3eA8bSCdMla8jBwI1NtdUO,,1:22,0,0,0,0,1,0,0
3eA8bSCdMla8jBwI1NtdUO_0167,3eA8bSCdMla8jBwI1NtdUO,,2:21,0,0,0,0,1,0,0
3eA8bSCdMla8jBwI1NtdUO_0168,3eA8bSCdMla8jBwI1NtdUO,,2:31,0,0,0,0,1,0,0
3eA8bSCdMla8jBwI1NtdUO_0169,3eA8bSCdMla8jBwI1NtdUO,,2:41,0,0,0,0,1,0,0
3ewawce1IoTwBn7QXJ36LP_0170,3ewawce1IoTwBn7QXJ36LP,https://open.spotify.com/track/3ewawce1IoTwBn7QXJ36LP?si=5d60469f0e544950,1:28,0,0,0,0,1,0,0
3ewawce1IoTwBn7QXJ36LP_0171,3ewawce1IoTwBn7QXJ36LP,,1:38,0,0,0,0,1,0,0
3ewawce1IoTwBn7QXJ36LP_0172,3ewawce1IoTwBn7QXJ36LP,,2:23,0,0,0,0,1,0,0
3ewawce1IoTwBn7QXJ36LP_0173,3ewawce1IoTwBn7QXJ36LP,,2:40,0,0,0,0,1,0,0
3ewawce1IoTwBn7QXJ36LP_0174,3ewawce1IoTwBn7QXJ36LP,,3:47,0,0,0,0,1,0,0
7yqJueBmuI7v5MIuQFjuIn_0175,7yqJueBmuI7v5MIuQFjuIn,https://open.spotify.com/track/7yqJueBmuI7v5MIuQFjuIn?si=1c52f44ee6174c81,0:29,0,0,0,0,1,0,0
7yqJueBmuI7v5MIuQFjuIn_0176,7yqJueBmuI7v5MIuQFjuIn,,0:39,0,0,0,0,1,0,0
7yqJueBmuI7v5MIuQFjuIn_0177,7yqJueBmuI7v5MIuQFjuIn,,0:49,0,0,0,0,1,0,0
7yqJueBmuI7v5MIuQFjuIn_0178,7yqJueBmuI7v5MIuQFjuIn,,0:59,0,0,0,0,1,0,0
7yqJueBmuI7v5MIuQFjuIn_0179,7yqJueBmuI7v5MIuQFjuIn,,1:55,0,0,0,0,1,0,0
7yqJueBmuI7v5MIuQFjuIn_0180,7yqJueBmuI7v5MIuQFjuIn,,2:06,0,0,0,0,1,0,0
7yqJueBmuI7v5MIuQFjuIn_0181,7yqJueBmuI7v5MIuQFjuIn,,2:16,0,0,0,0,1,0,0
